Pages; Faults; Size; Extra faults
1; 2; 4096; 1
2; 3; 8192; 1
3; 4; 12288; 1
4; 5; 16384; 1
5; 6; 20480; 1
6; 7; 24576; 1
7; 8; 28672; 1
8; 9; 32768; 1
9; 10; 36864; 1
10; 11; 40960; 1
11; 12; 45056; 1
12; 13; 49152; 1
13; 14; 53248; 1
14; 15; 57344; 1
15; 16; 61440; 1
16; 17; 65536; 1
17; 18; 69632; 1
18; 19; 73728; 1
19; 20; 77824; 1
20; 21; 81920; 1
21; 22; 86016; 1
22; 23; 90112; 1
23; 24; 94208; 1
24; 25; 98304; 1
25; 26; 102400; 1
26; 27; 106496; 1
27; 28; 110592; 1
28; 29; 114688; 1
29; 30; 118784; 1
30; 31; 122880; 1
31; 32; 126976; 1
32; 33; 131072; 1
33; 34; 135168; 1
34; 35; 139264; 1
35; 36; 143360; 1
36; 37; 147456; 1
37; 38; 151552; 1
38; 39; 155648; 1
39; 40; 159744; 1
40; 41; 163840; 1
41; 42; 167936; 1
42; 43; 172032; 1
43; 44; 176128; 1
44; 45; 180224; 1
45; 46; 184320; 1
46; 47; 188416; 1
47; 48; 192512; 1
48; 49; 196608; 1
49; 50; 200704; 1
50; 51; 204800; 1
51; 52; 208896; 1
52; 53; 212992; 1
53; 54; 217088; 1
54; 55; 221184; 1
55; 56; 225280; 1
56; 57; 229376; 1
57; 58; 233472; 1
58; 59; 237568; 1
59; 60; 241664; 1
60; 61; 245760; 1
61; 62; 249856; 1
62; 63; 253952; 1
63; 64; 258048; 1
64; 65; 262144; 1
65; 66; 266240; 1
66; 67; 270336; 1
67; 68; 274432; 1
68; 69; 278528; 1
69; 70; 282624; 1
70; 71; 286720; 1
71; 72; 290816; 1
72; 73; 294912; 1
73; 74; 299008; 1
74; 75; 303104; 1
75; 76; 307200; 1
76; 77; 311296; 1
77; 78; 315392; 1
78; 79; 319488; 1
79; 80; 323584; 1
80; 81; 327680; 1
81; 82; 331776; 1
82; 83; 335872; 1
83; 84; 339968; 1
84; 85; 344064; 1
85; 86; 348160; 1
86; 87; 352256; 1
87; 88; 356352; 1
88; 89; 360448; 1
89; 90; 364544; 1
90; 91; 368640; 1
91; 92; 372736; 1
92; 93; 376832; 1
93; 94; 380928; 1
94; 95; 385024; 1
95; 96; 389120; 1
96; 97; 393216; 1
97; 98; 397312; 1
98; 99; 401408; 1
99; 100; 405504; 1
100; 101; 409600; 1
101; 102; 413696; 1
102; 103; 417792; 1
103; 104; 421888; 1
104; 105; 425984; 1
105; 106; 430080; 1
106; 107; 434176; 1
107; 108; 438272; 1
108; 109; 442368; 1
109; 110; 446464; 1
110; 111; 450560; 1
111; 112; 454656; 1
112; 113; 458752; 1
113; 114; 462848; 1
114; 115; 466944; 1
115; 116; 471040; 1
116; 117; 475136; 1
117; 118; 479232; 1
118; 119; 483328; 1
119; 120; 487424; 1
120; 121; 491520; 1
121; 122; 495616; 1
122; 123; 499712; 1
123; 124; 503808; 1
124; 125; 507904; 1
125; 126; 512000; 1
126; 127; 516096; 1
127; 128; 520192; 1
128; 129; 524288; 1
129; 130; 528384; 1
130; 131; 532480; 1
131; 132; 536576; 1
132; 133; 540672; 1
133; 134; 544768; 1
134; 135; 548864; 1
135; 136; 552960; 1
136; 137; 557056; 1
137; 138; 561152; 1
138; 139; 565248; 1
139; 140; 569344; 1
140; 141; 573440; 1
141; 142; 577536; 1
142; 143; 581632; 1
143; 144; 585728; 1
144; 145; 589824; 1
145; 146; 593920; 1
146; 147; 598016; 1
147; 148; 602112; 1
148; 149; 606208; 1
149; 150; 610304; 1
150; 151; 614400; 1
151; 152; 618496; 1
152; 153; 622592; 1
153; 154; 626688; 1
154; 155; 630784; 1
155; 156; 634880; 1
156; 157; 638976; 1
157; 158; 643072; 1
158; 159; 647168; 1
159; 160; 651264; 1
160; 161; 655360; 1
161; 162; 659456; 1
162; 163; 663552; 1
163; 164; 667648; 1
164; 165; 671744; 1
165; 166; 675840; 1
166; 167; 679936; 1
167; 168; 684032; 1
168; 169; 688128; 1
169; 170; 692224; 1
170; 171; 696320; 1
171; 172; 700416; 1
172; 173; 704512; 1
173; 174; 708608; 1
174; 175; 712704; 1
175; 176; 716800; 1
176; 177; 720896; 1
177; 178; 724992; 1
178; 179; 729088; 1
179; 180; 733184; 1
180; 181; 737280; 1
181; 182; 741376; 1
182; 183; 745472; 1
183; 184; 749568; 1
184; 185; 753664; 1
185; 186; 757760; 1
186; 187; 761856; 1
187; 188; 765952; 1
188; 189; 770048; 1
189; 190; 774144; 1
190; 191; 778240; 1
191; 192; 782336; 1
192; 193; 786432; 1
193; 194; 790528; 1
194; 195; 794624; 1
195; 196; 798720; 1
196; 197; 802816; 1
197; 198; 806912; 1
198; 199; 811008; 1
199; 200; 815104; 1
200; 201; 819200; 1
201; 202; 823296; 1
202; 203; 827392; 1
203; 204; 831488; 1
204; 205; 835584; 1
205; 206; 839680; 1
206; 207; 843776; 1
207; 208; 847872; 1
208; 209; 851968; 1
209; 210; 856064; 1
210; 211; 860160; 1
211; 212; 864256; 1
212; 213; 868352; 1
213; 214; 872448; 1
214; 215; 876544; 1
215; 216; 880640; 1
216; 217; 884736; 1
217; 218; 888832; 1
218; 219; 892928; 1
219; 220; 897024; 1
220; 221; 901120; 1
221; 222; 905216; 1
222; 223; 909312; 1
223; 224; 913408; 1
224; 225; 917504; 1
225; 226; 921600; 1
226; 227; 925696; 1
227; 228; 929792; 1
228; 229; 933888; 1
229; 230; 937984; 1
230; 231; 942080; 1
231; 232; 946176; 1
232; 233; 950272; 1
233; 234; 954368; 1
234; 235; 958464; 1
235; 236; 962560; 1
236; 237; 966656; 1
237; 238; 970752; 1
238; 239; 974848; 1
239; 240; 978944; 1
240; 241; 983040; 1
241; 242; 987136; 1
242; 243; 991232; 1
243; 244; 995328; 1
244; 245; 999424; 1
245; 246; 1003520; 1
246; 247; 1007616; 1
247; 248; 1011712; 1
248; 249; 1015808; 1
249; 250; 1019904; 1
250; 251; 1024000; 1
251; 252; 1028096; 1
252; 253; 1032192; 1
253; 254; 1036288; 1
254; 255; 1040384; 1
255; 256; 1044480; 1
256; 257; 1048576; 1
257; 258; 1052672; 1
258; 259; 1056768; 1
259; 260; 1060864; 1
260; 261; 1064960; 1
261; 262; 1069056; 1
262; 263; 1073152; 1
263; 264; 1077248; 1
264; 265; 1081344; 1
265; 266; 1085440; 1
266; 267; 1089536; 1
267; 268; 1093632; 1
268; 269; 1097728; 1
269; 270; 1101824; 1
270; 271; 1105920; 1
271; 272; 1110016; 1
272; 273; 1114112; 1
273; 274; 1118208; 1
274; 275; 1122304; 1
275; 276; 1126400; 1
276; 277; 1130496; 1
277; 278; 1134592; 1
278; 279; 1138688; 1
279; 280; 1142784; 1
280; 281; 1146880; 1
281; 282; 1150976; 1
282; 283; 1155072; 1
283; 284; 1159168; 1
284; 285; 1163264; 1
285; 286; 1167360; 1
286; 287; 1171456; 1
287; 288; 1175552; 1
288; 289; 1179648; 1
289; 290; 1183744; 1
290; 291; 1187840; 1
291; 292; 1191936; 1
292; 293; 1196032; 1
293; 294; 1200128; 1
294; 295; 1204224; 1
295; 296; 1208320; 1
296; 297; 1212416; 1
297; 298; 1216512; 1
298; 299; 1220608; 1
299; 300; 1224704; 1
300; 301; 1228800; 1
301; 302; 1232896; 1
302; 303; 1236992; 1
303; 304; 1241088; 1
304; 305; 1245184; 1
305; 306; 1249280; 1
306; 307; 1253376; 1
307; 308; 1257472; 1
308; 309; 1261568; 1
309; 310; 1265664; 1
310; 311; 1269760; 1
311; 312; 1273856; 1
312; 313; 1277952; 1
313; 314; 1282048; 1
314; 315; 1286144; 1
315; 316; 1290240; 1
316; 317; 1294336; 1
317; 318; 1298432; 1
318; 319; 1302528; 1
319; 320; 1306624; 1
320; 321; 1310720; 1
321; 322; 1314816; 1
322; 323; 1318912; 1
323; 324; 1323008; 1
324; 325; 1327104; 1
325; 326; 1331200; 1
326; 327; 1335296; 1
327; 328; 1339392; 1
328; 329; 1343488; 1
329; 330; 1347584; 1
330; 331; 1351680; 1
331; 332; 1355776; 1
332; 333; 1359872; 1
333; 334; 1363968; 1
334; 335; 1368064; 1
335; 336; 1372160; 1
336; 337; 1376256; 1
337; 338; 1380352; 1
338; 339; 1384448; 1
339; 340; 1388544; 1
340; 341; 1392640; 1
341; 342; 1396736; 1
342; 343; 1400832; 1
343; 344; 1404928; 1
344; 345; 1409024; 1
345; 346; 1413120; 1
346; 347; 1417216; 1
347; 348; 1421312; 1
348; 349; 1425408; 1
349; 350; 1429504; 1
350; 351; 1433600; 1
351; 352; 1437696; 1
352; 353; 1441792; 1
353; 354; 1445888; 1
354; 355; 1449984; 1
355; 356; 1454080; 1
356; 357; 1458176; 1
357; 358; 1462272; 1
358; 359; 1466368; 1
359; 360; 1470464; 1
360; 361; 1474560; 1
361; 362; 1478656; 1
362; 363; 1482752; 1
363; 364; 1486848; 1
364; 365; 1490944; 1
365; 366; 1495040; 1
366; 367; 1499136; 1
367; 368; 1503232; 1
368; 369; 1507328; 1
369; 370; 1511424; 1
370; 371; 1515520; 1
371; 372; 1519616; 1
372; 373; 1523712; 1
373; 374; 1527808; 1
374; 375; 1531904; 1
375; 376; 1536000; 1
376; 377; 1540096; 1
377; 378; 1544192; 1
378; 379; 1548288; 1
379; 380; 1552384; 1
380; 381; 1556480; 1
381; 382; 1560576; 1
382; 383; 1564672; 1
383; 384; 1568768; 1
384; 385; 1572864; 1
385; 386; 1576960; 1
386; 387; 1581056; 1
387; 388; 1585152; 1
388; 389; 1589248; 1
389; 390; 1593344; 1
390; 391; 1597440; 1
391; 392; 1601536; 1
392; 393; 1605632; 1
393; 394; 1609728; 1
394; 395; 1613824; 1
395; 396; 1617920; 1
396; 397; 1622016; 1
397; 398; 1626112; 1
398; 399; 1630208; 1
399; 400; 1634304; 1
400; 401; 1638400; 1
401; 402; 1642496; 1
402; 403; 1646592; 1
403; 404; 1650688; 1
404; 405; 1654784; 1
405; 406; 1658880; 1
406; 407; 1662976; 1
407; 408; 1667072; 1
408; 409; 1671168; 1
409; 410; 1675264; 1
410; 411; 1679360; 1
411; 412; 1683456; 1
412; 413; 1687552; 1
413; 414; 1691648; 1
414; 415; 1695744; 1
415; 416; 1699840; 1
416; 417; 1703936; 1
417; 418; 1708032; 1
418; 419; 1712128; 1
419; 420; 1716224; 1
420; 421; 1720320; 1
421; 422; 1724416; 1
422; 423; 1728512; 1
423; 424; 1732608; 1
424; 425; 1736704; 1
425; 426; 1740800; 1
426; 427; 1744896; 1
427; 428; 1748992; 1
428; 429; 1753088; 1
429; 430; 1757184; 1
430; 431; 1761280; 1
431; 432; 1765376; 1
432; 433; 1769472; 1
433; 434; 1773568; 1
434; 435; 1777664; 1
435; 436; 1781760; 1
436; 437; 1785856; 1
437; 438; 1789952; 1
438; 439; 1794048; 1
439; 440; 1798144; 1
440; 441; 1802240; 1
441; 442; 1806336; 1
442; 443; 1810432; 1
443; 444; 1814528; 1
444; 445; 1818624; 1
445; 446; 1822720; 1
446; 447; 1826816; 1
447; 448; 1830912; 1
448; 449; 1835008; 1
449; 450; 1839104; 1
450; 451; 1843200; 1
451; 452; 1847296; 1
452; 453; 1851392; 1
453; 454; 1855488; 1
