Size; Throughput
1024; 104.960678
2048; 104.115112
3072; 103.826591
4096; 104.664574
5120; 104.476830
6144; 104.254646
7168; 98.843826
8192; 99.179482
9216; 104.545975
10240; 100.375595
11264; 100.936470
12288; 101.099281
13312; 101.076134
14336; 102.141212
15360; 102.271233
16384; 102.733513
17408; 102.791992
18432; 102.102402
19456; 102.514427
20480; 102.224380
21504; 102.529060
23552; 102.700798
25600; 102.536903
27648; 102.963982
29696; 103.623306
31744; 103.361206
33792; 101.913910
35840; 99.191566
37888; 93.790298
39936; 95.193855
41984; 94.238609
44032; 94.796165
46080; 94.468796
48128; 94.260765
50176; 93.869354
52224; 95.149712
54272; 94.412292
56320; 94.992828
58368; 94.913155
60416; 93.814262
62464; 94.157822
66560; 95.255753
70656; 95.030533
74752; 94.260117
78848; 94.379524
82944; 95.329239
87040; 94.985344
91136; 95.739853
95232; 95.326988
99328; 95.501587
103424; 95.254280
107520; 95.326286
111616; 97.311203
115712; 95.713928
119808; 95.836731
123904; 96.467209
128000; 96.467003
132096; 96.201714
136192; 96.354492
140288; 95.973717
144384; 96.276154
152576; 95.916351
160768; 96.285820
168960; 96.323296
177152; 96.111694
185344; 96.643158
193536; 97.714958
201728; 96.491684
209920; 97.761246
218112; 97.223061
226304; 96.980492
234496; 97.571167
242688; 97.710228
250880; 97.321640
259072; 96.474022
267264; 96.893951
275456; 97.591156
283648; 96.971100
291840; 97.301918
300032; 97.483406
308224; 97.629272
324608; 96.694832
340992; 96.216026
357376; 97.471527
373760; 96.079620
390144; 96.451210
406528; 96.643425
422912; 96.509125
439296; 98.044762
455680; 97.848640
472064; 93.174774
488448; 93.415276
504832; 92.894257
521216; 91.443344
537600; 87.921928
553984; 83.667191
570368; 81.032333
586752; 78.030655
603136; 76.738960
619520; 75.037025
635904; 73.342537
668672; 72.253281
701440; 72.038734
734208; 72.236565
766976; 71.887024
799744; 71.613350
832512; 71.290474
865280; 71.099716
898048; 70.784355
930816; 70.616043
963584; 71.358147
996352; 71.130165
1029120; 69.109917
1061888; 68.679863
1094656; 68.793327
1127424; 68.637039
1160192; 68.459236
1192960; 68.518852
1225728; 68.835403
1258496; 68.760040
1291264; 68.526009
1356800; 68.518791
1422336; 68.403999
1487872; 68.588028
1553408; 68.361862
1618944; 68.324829
1684480; 68.274529
1750016; 68.266975
1815552; 68.214287
1881088; 68.123566
1946624; 68.456871
2012160; 68.532455
2077696; 68.341042
2143232; 68.213242
2208768; 68.898262
2274304; 68.819649
2339840; 68.489670
2405376; 68.259048
2470912; 68.350426
2536448; 68.325012
2601984; 68.685509
2733056; 68.697281
2864128; 68.643997
2995200; 68.779579
3126272; 68.432159
3257344; 67.890678
3388416; 68.198265
3519488; 67.950294
3650560; 67.201836
3781632; 68.512077
3912704; 66.088394
4043776; 61.933064
4174848; 54.586269
4305920; 35.673744
4436992; 28.002075
4568064; 26.366520
4699136; 27.116455
4830208; 25.736198
4961280; 24.216825
5092352; 22.635666
5223424; 21.457542
5485568; 19.904530
5747712; 18.726868
6009856; 18.502901
6272000; 18.501062
6534144; 18.512383
6796288; 18.395985
7058432; 18.009808
7320576; 18.021265
7582720; 18.032167
7844864; 18.067823
8107008; 18.035137
8369152; 18.029112
8631296; 18.057957
8893440; 18.109945
9155584; 18.026445
9417728; 18.064981
9679872; 18.081736
9942016; 18.090118
10204160; 18.069962
10466304; 18.034882
10990592; 18.018757
11514880; 17.990700
12039168; 18.034637
12563456; 17.994614
13087744; 18.144337
13612032; 18.008801
14136320; 18.115326
14660608; 18.076136
15184896; 18.180029
15709184; 18.196060
16233472; 18.258955
16757760; 18.261389
17282048; 18.311319
17806336; 18.255541
18330624; 18.319216
18854912; 18.083380
19379200; 18.243502
19903488; 18.256310
20427776; 18.255585
