Pages; Faults; Size; Extra faults
1;1;4096;0
2;2;8192;0
3;3;12288;0
4;4;16384;0
5;5;20480;0
6;6;24576;0
7;7;28672;0
8;8;32768;0
9;9;36864;0
10;10;40960;0
11;11;45056;0
12;12;49152;0
13;13;53248;0
14;14;57344;0
15;15;61440;0
16;16;65536;0
17;32;69632;15
18;32;73728;14
19;32;77824;13
20;32;81920;12
21;32;86016;11
22;32;90112;10
23;32;94208;9
24;32;98304;8
25;32;102400;7
26;32;106496;6
27;32;110592;5
28;32;114688;4
29;32;118784;3
30;32;122880;2
31;32;126976;1
32;32;131072;0
33;48;135168;15
34;48;139264;14
35;48;143360;13
36;48;147456;12
37;48;151552;11
38;48;155648;10
39;48;159744;9
40;48;163840;8
41;48;167936;7
42;48;172032;6
43;48;176128;5
44;48;180224;4
45;48;184320;3
46;48;188416;2
47;48;192512;1
48;48;196608;0
49;64;200704;15
50;64;204800;14
51;64;208896;13
52;64;212992;12
53;64;217088;11
54;64;221184;10
55;64;225280;9
56;64;229376;8
57;64;233472;7
58;64;237568;6
59;64;241664;5
60;64;245760;4
61;64;249856;3
62;64;253952;2
63;64;258048;1
64;64;262144;0
65;80;266240;15
66;80;270336;14
67;80;274432;13
68;80;278528;12
69;80;282624;11
70;80;286720;10
71;80;290816;9
72;80;294912;8
73;80;299008;7
74;80;303104;6
75;80;307200;5
76;80;311296;4
77;80;315392;3
78;80;319488;2
79;80;323584;1
80;80;327680;0
81;96;331776;15
82;96;335872;14
83;96;339968;13
84;96;344064;12
85;96;348160;11
86;96;352256;10
87;96;356352;9
88;96;360448;8
89;96;364544;7
90;96;368640;6
91;96;372736;5
92;96;376832;4
93;96;380928;3
94;96;385024;2
95;96;389120;1
96;96;393216;0
97;112;397312;15
98;112;401408;14
99;112;405504;13
100;112;409600;12
101;112;413696;11
102;112;417792;10
103;112;421888;9
104;112;425984;8
105;112;430080;7
106;112;434176;6
107;112;438272;5
108;112;442368;4
109;112;446464;3
110;112;450560;2
111;112;454656;1
112;112;458752;0
113;128;462848;15
114;128;466944;14
115;128;471040;13
116;128;475136;12
117;128;479232;11
118;128;483328;10
119;128;487424;9
120;128;491520;8
121;128;495616;7
122;128;499712;6
123;128;503808;5
124;128;507904;4
125;128;512000;3
126;128;516096;2
127;128;520192;1
128;128;524288;0
129;144;528384;15
130;144;532480;14
131;144;536576;13
132;144;540672;12
133;144;544768;11
134;144;548864;10
135;144;552960;9
136;144;557056;8
137;144;561152;7
138;144;565248;6
139;144;569344;5
140;144;573440;4
141;144;577536;3
142;144;581632;2
143;144;585728;1
144;144;589824;0
145;160;593920;15
146;160;598016;14
147;160;602112;13
148;160;606208;12
149;160;610304;11
150;160;614400;10
151;160;618496;9
152;160;622592;8
153;160;626688;7
154;160;630784;6
155;160;634880;5
156;160;638976;4
157;160;643072;3
158;160;647168;2
159;160;651264;1
160;160;655360;0
161;176;659456;15
162;176;663552;14
163;176;667648;13
164;176;671744;12
165;176;675840;11
166;176;679936;10
167;176;684032;9
168;176;688128;8
169;176;692224;7
170;176;696320;6
171;176;700416;5
172;176;704512;4
173;176;708608;3
174;176;712704;2
175;176;716800;1
176;176;720896;0
177;192;724992;15
178;192;729088;14
179;192;733184;13
180;192;737280;12
181;192;741376;11
182;192;745472;10
183;192;749568;9
184;192;753664;8
185;192;757760;7
186;192;761856;6
187;192;765952;5
188;192;770048;4
189;192;774144;3
190;192;778240;2
191;192;782336;1
192;192;786432;0
193;208;790528;15
194;208;794624;14
195;208;798720;13
196;208;802816;12
197;208;806912;11
198;208;811008;10
199;208;815104;9
200;208;819200;8
201;208;823296;7
202;208;827392;6
203;208;831488;5
204;208;835584;4
205;208;839680;3
206;208;843776;2
207;208;847872;1
208;208;851968;0
209;224;856064;15
210;224;860160;14
211;224;864256;13
212;224;868352;12
213;224;872448;11
214;224;876544;10
215;224;880640;9
216;224;884736;8
217;224;888832;7
218;224;892928;6
219;224;897024;5
220;224;901120;4
221;224;905216;3
222;224;909312;2
223;224;913408;1
224;224;917504;0
225;240;921600;15
226;240;925696;14
227;240;929792;13
228;240;933888;12
229;240;937984;11
230;240;942080;10
231;240;946176;9
232;240;950272;8
233;240;954368;7
234;240;958464;6
235;240;962560;5
236;240;966656;4
237;240;970752;3
238;240;974848;2
239;240;978944;1
240;240;983040;0
241;256;987136;15
242;256;991232;14
243;256;995328;13
244;256;999424;12
245;256;1003520;11
246;256;1007616;10
247;256;1011712;9
248;256;1015808;8
249;256;1019904;7
250;256;1024000;6
251;256;1028096;5
252;256;1032192;4
253;256;1036288;3
254;256;1040384;2
255;256;1044480;1
256;256;1048576;0
257;272;1052672;15
258;272;1056768;14
259;272;1060864;13
260;272;1064960;12
261;272;1069056;11
262;272;1073152;10
263;272;1077248;9
264;272;1081344;8
265;272;1085440;7
266;272;1089536;6
267;272;1093632;5
268;272;1097728;4
269;272;1101824;3
270;272;1105920;2
271;272;1110016;1
272;272;1114112;0
273;288;1118208;15
274;288;1122304;14
275;288;1126400;13
276;288;1130496;12
277;288;1134592;11
278;288;1138688;10
279;288;1142784;9
280;288;1146880;8
281;288;1150976;7
282;288;1155072;6
283;288;1159168;5
284;288;1163264;4
285;288;1167360;3
286;288;1171456;2
287;288;1175552;1
288;288;1179648;0
289;304;1183744;15
290;304;1187840;14
291;304;1191936;13
292;304;1196032;12
293;304;1200128;11
294;304;1204224;10
295;304;1208320;9
296;304;1212416;8
297;304;1216512;7
298;304;1220608;6
299;304;1224704;5
300;304;1228800;4
301;304;1232896;3
302;304;1236992;2
303;304;1241088;1
304;304;1245184;0
305;306;1249280;1
306;307;1253376;1
307;308;1257472;1
308;309;1261568;1
309;310;1265664;1
310;311;1269760;1
311;312;1273856;1
312;313;1277952;1
313;314;1282048;1
314;315;1286144;1
315;316;1290240;1
316;317;1294336;1
317;318;1298432;1
318;319;1302528;1
319;320;1306624;1
320;321;1310720;1
321;337;1314816;16
322;337;1318912;15
323;337;1323008;14
324;337;1327104;13
325;337;1331200;12
326;337;1335296;11
327;337;1339392;10
328;337;1343488;9
329;337;1347584;8
330;337;1351680;7
331;337;1355776;6
332;337;1359872;5
333;337;1363968;4
334;337;1368064;3
335;337;1372160;2
336;337;1376256;1
337;353;1380352;16
338;353;1384448;15
339;353;1388544;14
340;353;1392640;13
341;353;1396736;12
342;353;1400832;11
343;353;1404928;10
344;353;1409024;9
345;353;1413120;8
346;353;1417216;7
347;353;1421312;6
348;353;1425408;5
349;353;1429504;4
350;353;1433600;3
351;353;1437696;2
352;353;1441792;1
353;369;1445888;16
354;369;1449984;15
355;369;1454080;14
356;369;1458176;13
357;369;1462272;12
358;369;1466368;11
359;369;1470464;10
360;369;1474560;9
361;369;1478656;8
362;369;1482752;7
363;369;1486848;6
364;369;1490944;5
365;369;1495040;4
366;369;1499136;3
367;369;1503232;2
368;369;1507328;1
369;385;1511424;16
370;385;1515520;15
371;385;1519616;14
372;385;1523712;13
373;385;1527808;12
374;385;1531904;11
375;385;1536000;10
376;385;1540096;9
377;385;1544192;8
378;385;1548288;7
379;385;1552384;6
380;385;1556480;5
381;385;1560576;4
382;385;1564672;3
383;385;1568768;2
384;385;1572864;1
385;401;1576960;16
386;401;1581056;15
387;401;1585152;14
388;401;1589248;13
389;401;1593344;12
390;401;1597440;11
391;401;1601536;10
392;401;1605632;9
393;401;1609728;8
394;401;1613824;7
395;401;1617920;6
396;401;1622016;5
397;401;1626112;4
398;401;1630208;3
399;401;1634304;2
400;401;1638400;1
401;417;1642496;16
402;417;1646592;15
403;417;1650688;14
404;417;1654784;13
405;417;1658880;12
406;417;1662976;11
407;417;1667072;10
408;417;1671168;9
409;417;1675264;8
410;417;1679360;7
411;417;1683456;6
412;417;1687552;5
413;417;1691648;4
414;417;1695744;3
415;417;1699840;2
416;417;1703936;1
417;433;1708032;16
418;433;1712128;15
419;433;1716224;14
420;433;1720320;13
421;433;1724416;12
422;433;1728512;11
423;433;1732608;10
424;433;1736704;9
425;433;1740800;8
426;433;1744896;7
427;433;1748992;6
428;433;1753088;5
429;433;1757184;4
430;433;1761280;3
431;433;1765376;2
432;433;1769472;1
433;449;1773568;16
434;449;1777664;15
435;449;1781760;14
436;449;1785856;13
437;449;1789952;12
438;449;1794048;11
439;449;1798144;10
440;449;1802240;9
441;449;1806336;8
442;449;1810432;7
443;449;1814528;6
444;449;1818624;5
445;449;1822720;4
446;449;1826816;3
447;449;1830912;2
448;449;1835008;1
449;465;1839104;16
450;465;1843200;15
451;465;1847296;14
452;465;1851392;13
453;465;1855488;12
454;465;1859584;11
455;465;1863680;10
456;465;1867776;9
457;465;1871872;8
458;465;1875968;7
459;465;1880064;6
460;465;1884160;5
461;465;1888256;4
462;465;1892352;3
463;465;1896448;2
464;465;1900544;1
465;481;1904640;16
466;481;1908736;15
467;481;1912832;14
468;481;1916928;13
469;481;1921024;12
470;481;1925120;11
471;481;1929216;10
472;481;1933312;9
473;481;1937408;8
474;481;1941504;7
475;481;1945600;6
476;481;1949696;5
477;481;1953792;4
478;481;1957888;3
479;481;1961984;2
480;481;1966080;1
481;497;1970176;16
482;497;1974272;15
483;497;1978368;14
484;497;1982464;13
485;497;1986560;12
486;497;1990656;11
487;497;1994752;10
488;497;1998848;9
489;497;2002944;8
490;497;2007040;7
491;497;2011136;6
492;497;2015232;5
493;497;2019328;4
494;497;2023424;3
495;497;2027520;2
496;497;2031616;1
497;513;2035712;16
498;513;2039808;15
499;513;2043904;14
500;513;2048000;13
501;513;2052096;12
502;513;2056192;11
503;513;2060288;10
504;513;2064384;9
505;513;2068480;8
506;513;2072576;7
507;513;2076672;6
508;513;2080768;5
509;513;2084864;4
510;513;2088960;3
511;513;2093056;2
512;513;2097152;1
513;529;2101248;16
514;529;2105344;15
515;529;2109440;14
516;529;2113536;13
517;529;2117632;12
518;529;2121728;11
519;529;2125824;10
520;529;2129920;9
521;529;2134016;8
522;529;2138112;7
523;529;2142208;6
524;529;2146304;5
525;529;2150400;4
526;529;2154496;3
527;529;2158592;2
528;529;2162688;1
529;545;2166784;16
530;545;2170880;15
531;545;2174976;14
532;545;2179072;13
533;545;2183168;12
534;545;2187264;11
535;545;2191360;10
536;545;2195456;9
537;545;2199552;8
538;545;2203648;7
539;545;2207744;6
540;545;2211840;5
541;545;2215936;4
542;545;2220032;3
543;545;2224128;2
544;545;2228224;1
545;561;2232320;16
546;561;2236416;15
547;561;2240512;14
548;561;2244608;13
549;561;2248704;12
550;561;2252800;11
551;561;2256896;10
552;561;2260992;9
553;561;2265088;8
554;561;2269184;7
555;561;2273280;6
556;561;2277376;5
557;561;2281472;4
558;561;2285568;3
559;561;2289664;2
560;561;2293760;1
561;577;2297856;16
562;577;2301952;15
563;577;2306048;14
564;577;2310144;13
565;577;2314240;12
566;577;2318336;11
567;577;2322432;10
568;577;2326528;9
569;577;2330624;8
570;577;2334720;7
571;577;2338816;6
572;577;2342912;5
573;577;2347008;4
574;577;2351104;3
575;577;2355200;2
576;577;2359296;1
577;593;2363392;16
578;593;2367488;15
579;593;2371584;14
580;593;2375680;13
581;593;2379776;12
582;593;2383872;11
583;593;2387968;10
584;593;2392064;9
585;593;2396160;8
586;593;2400256;7
587;593;2404352;6
588;593;2408448;5
589;593;2412544;4
590;593;2416640;3
591;593;2420736;2
592;593;2424832;1
593;609;2428928;16
594;609;2433024;15
595;609;2437120;14
596;609;2441216;13
597;609;2445312;12
598;609;2449408;11
599;609;2453504;10
600;609;2457600;9
601;609;2461696;8
602;609;2465792;7
603;609;2469888;6
604;609;2473984;5
605;609;2478080;4
606;609;2482176;3
607;609;2486272;2
608;609;2490368;1
609;625;2494464;16
610;625;2498560;15
611;625;2502656;14
612;625;2506752;13
613;625;2510848;12
614;625;2514944;11
615;625;2519040;10
616;625;2523136;9
617;625;2527232;8
618;625;2531328;7
619;625;2535424;6
620;625;2539520;5
621;625;2543616;4
622;625;2547712;3
623;625;2551808;2
624;625;2555904;1
625;641;2560000;16
626;641;2564096;15
627;641;2568192;14
628;641;2572288;13
629;641;2576384;12
630;641;2580480;11
631;641;2584576;10
632;641;2588672;9
633;641;2592768;8
634;641;2596864;7
635;641;2600960;6
636;641;2605056;5
637;641;2609152;4
638;641;2613248;3
639;641;2617344;2
640;641;2621440;1
641;657;2625536;16
642;657;2629632;15
643;657;2633728;14
644;657;2637824;13
645;657;2641920;12
646;657;2646016;11
647;657;2650112;10
648;657;2654208;9
649;657;2658304;8
